max_distance,enrolled_accuracy,false_accept_rate
0.02,0.7192,0.0000
0.03,0.7801,0.0000
0.04,0.8185,0.0000
0.05,0.8471,0.0000
0.06,0.8723,0.0000
0.07,0.8937,0.0000
0.08,0.9079,0.0000
0.09,0.9195,0.0000
0.10,0.9273,0.0000
0.11,0.9322,0.0000
0.12,0.9367,0.0000
0.13,0.9410,0.0000
0.14,0.9437,0.0000
0.15,0.9473,0.0000
0.16,0.9518,0.0000
0.17,0.9561,0.0000
0.18,0.9594,0.0000
0.19,0.9627,0.0000
0.20,0.9662,0.0000
0.21,0.9688,0.0000
0.22,0.9714,0.0000
0.23,0.9729,0.0001
0.24,0.9743,0.0001
0.25,0.9751,0.0001
0.26,0.9761,0.0004
0.27,0.9765,0.0006
0.28,0.9772,0.0009
0.29,0.9776,0.0014
0.30,0.9779,0.0020
0.31,0.9784,0.0028
0.32,0.9790,0.0050
0.33,0.9797,0.0081
0.34,0.9801,0.0118
0.35,0.9809,0.0148
0.36,0.9813,0.0193
0.37,0.9818,0.0253
0.38,0.9822,0.0315
0.39,0.9828,0.0438
0.40,0.9836,0.0590
